Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,SHA-384,SHA3-256,SHA3-384,SHA3-512,BLAKE3,Description,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,busybox,1.22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,curl,7.37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,elog,1.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,iptables,1.4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,libcurl,7.37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,linux_kernel,2.6.30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,openssl,0.9.8b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,openssl,0.9.8zc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,stunnel,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,wireless_tools,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
