binary/file;version_rule;version_detected;csv_rule;license;static/emulation;
/logs/firmware/squashfs-root/bin/busybox;busybox;BusyBox v1.22.1 ;busybox:1.22.1;gplv2;static;
/logs/firmware/squashfs-root/bin/busybox;busybox;BusyBox v1.22.1 (2014-12-31 11:42:21 CST);busybox:1.22.1;gplv2;static;
/logs/firmware/squashfs-root/bin/curl;curl;curl 7.37.0;curl:7.37.0;mit-style;static;
/logs/firmware/squashfs-root/usr/bin/flash_eraseall;flash_eraseall;flash_eraseall $Revision: 1.1 $;mtd-utils:1.1;unknown;static;
/logs/firmware/squashfs-root/usr/sbin/elog;elog;event log utility v1.0.1;elog:1.0.1;unknown;static;
/logs/firmware/squashfs-root/usr/sbin/iperf;iperf;iperf version 2.0.5;iperf:2.0.5;unknown;static;
/logs/firmware/squashfs-root/lib/libcurl.so.4.3.0;libcurl;libcurl/7.37.0;libcurl:7.37.0;mit-style;static;
/logs/firmware/squashfs-root/usr/lib/libssl.so.0.9.8;openssl;OpenSSL 0.9.8zc ;openssl:openssl:0.9.8zc;bsd;static;
/logs/firmware/squashfs-root/bin/wscd;openssl;OpenSSL 0.9.8b-;openssl:openssl:0.9.8b;bsd;static;
/logs/firmware/squashfs-root/usr/lib/libcrypto.so.0.9.8;openssl;OpenSSL 0.9.8zc ;openssl:openssl:0.9.8zc;bsd;static;
/logs/firmware/squashfs-root/usr/sbin/rscam_uvc;Realtek_camera_tool;Welcome to Realtek Camera Tool. Version 1.11.1;realtek_camera_tool:1.11.1;unknown;static;
/logs/firmware/squashfs-root/bin/busybox;sed;GNU sed version 4.0;gnu:sed:4.0;gplv3;static;
/logs/firmware/squashfs-root/bin/stunnel;stunnel;stunnel 4.21 on ;stunnel:4.21;gplv2;static;
/logs/firmware/squashfs-root/usr/sbin/upnp_igd;upnp_igd;UPnP ControlPoint 1.0 for IGD;upnp_controlpoint:1.0;unknown;static;
/logs/firmware/squashfs-root/bin/busybox;udhcp;udhcp 1.22.1;udhcp:1.22.1;unknown;static;
